Year,Area Name,Species Name Common,Average Exvessel Price per Pound
1993,Kuskokwim,        Chum,0.398722913
1993,Kuskokwim,        Coho,0.598585575
1993,Kuskokwim,Chinook,0.610336688
1993,Kuskokwim,Sockeye,0.714320762
1993,Norton Sound,        Chum,0.255152272
1993,Norton Sound,        Coho,0.352765449
1993,Prince William Sound,                             Pink,0.189898443
1993,Prince William Sound,        Chum,0.659311231
1993,Prince William Sound,        Coho,0.81266793
1993,Prince William Sound,Chinook,1.690079622
1993,Prince William Sound,Sockeye,1.24068895
1993,Southeast,                             Pink,0.181849611
1993,Southeast,        Chum,0.480343353
1993,Southeast,        Coho,1.058151589
1993,Southeast,Chinook,1.666048617
1993,Southeast,Sockeye,0.931807995
1993,Yukon,        Chum,0.378987172
1993,Yukon,Chinook,2.774446214
1994,Alaska Peninsula,                             Pink,0.153285391
1994,Alaska Peninsula,        Chum,0.236775481
1994,Alaska Peninsula,        Coho,0.529358943
1994,Alaska Peninsula,Chinook,0.67056387
1994,Alaska Peninsula,Sockeye,0.999618168
1994,Bristol Bay,                             Pink,0.121481854
1994,Bristol Bay,        Chum,0.215005754
1994,Bristol Bay,        Coho,0.709083679
1994,Bristol Bay,Chinook,0.635708228
1994,Bristol Bay,Sockeye,0.966194233
1994,Chignik,                             Pink,0.138740841
1994,Chignik,        Chum,0.269420383
1994,Chignik,        Coho,0.537263241
1994,Chignik,Chinook,0.552117581
1994,Chignik,Sockeye,0.91404654
1994,Cook Inlet,                             Pink,0.146818041
1994,Cook Inlet,        Chum,0.292682078
1994,Cook Inlet,        Coho,0.672604896
1994,Cook Inlet,Chinook,0.926774869
1994,Cook Inlet,Sockeye,1.450411611
1994,Kodiak,                             Pink,0.181385091
1994,Kodiak,        Chum,0.230814021
1994,Kodiak,        Coho,0.67349184
1994,Kodiak,Chinook,0.72785201
1994,Kodiak,Sockeye,1.277620614
1994,Kotzebue,        Chum,0.200603989
1994,Kuskokwim,                             Pink,0.080390072
1994,Kuskokwim,        Chum,0.230315905
1994,Kuskokwim,        Coho,0.599292589
1994,Kuskokwim,Chinook,0.502278645
1994,Kuskokwim,Sockeye,0.542480303
1994,Prince William Sound,                             Pink,0.186215139
1994,Prince William Sound,        Chum,0.46219773
1994,Prince William Sound,        Coho,0.734964389
1994,Prince William Sound,Chinook,1.488587097
1994,Prince William Sound,Sockeye,1.262264652
1994,Southeast,                             Pink,0.202829704
1994,Southeast,        Chum,0.252524493
1994,Southeast,        Coho,1.058099869
1994,Southeast,Chinook,1.926532047
1994,Southeast,Sockeye,1.386336051
1994,Yukon,        Chum,0.21842798
1994,Yukon,Chinook,1.955924617
1995,Alaska Peninsula,                             Pink,0.163013343
1995,Alaska Peninsula,        Chum,0.223097717
1995,Alaska Peninsula,        Coho,0.42784467
1995,Alaska Peninsula,Chinook,0.730759812
1995,Alaska Peninsula,Sockeye,1.074690281
1995,Bristol Bay,                             Pink,0.136702128
1995,Bristol Bay,        Chum,0.202998857
1995,Bristol Bay,        Coho,0.429689292
1995,Bristol Bay,Chinook,0.659311661
1995,Bristol Bay,Sockeye,0.771409332
1995,Chignik,                             Pink,0.140430964
1995,Chignik,        Chum,0.211579433
1995,Chignik,        Coho,0.45579508
1995,Chignik,Chinook,0.543890585
1995,Chignik,Sockeye,1.075581293
1995,Cook Inlet,                             Pink,0.172720099
1995,Cook Inlet,        Chum,0.260052004
1995,Cook Inlet,        Coho,0.489614834
1995,Cook Inlet,Chinook,0.985384402
1995,Cook Inlet,Sockeye,1.177893616
1995,Kodiak,                             Pink,0.169500457
1995,Kodiak,        Chum,0.271451476
1995,Kodiak,        Coho,0.401197545
1995,Kodiak,Chinook,0.693029245
1995,Kodiak,Sockeye,1.053107402
1995,Kuskokwim,        Chum,0.199992551
1995,Kuskokwim,        Coho,0.424694532
1995,Kuskokwim,Chinook,0.685322631
1995,Kuskokwim,Sockeye,0.703637307
1995,Prince William Sound,                             Pink,0.209051862
1995,Prince William Sound,        Chum,0.436866895
1995,Prince William Sound,        Coho,0.504402594
1995,Prince William Sound,Chinook,2.269017823
1995,Prince William Sound,Sockeye,1.55189537
1995,Southeast,                             Pink,0.205247898
1995,Southeast,        Chum,0.372168939
1995,Southeast,        Coho,0.718234645
1995,Southeast,Chinook,1.532187583
1995,Southeast,Sockeye,1.210233342
1995,Yukon,        Chum,0.160488531
1995,Yukon,        Coho,0.289682576
1995,Yukon,Chinook,2.359320416
1996,Alaska Peninsula,                             Pink,0.0638816
1996,Alaska Peninsula,        Chum,0.083965973
1996,Alaska Peninsula,        Coho,0.341886286
1996,Alaska Peninsula,Chinook,0.416403417
1996,Alaska Peninsula,Sockeye,0.876621889
1996,Bristol Bay,                             Pink,0.050209706
1996,Bristol Bay,        Chum,0.106596048
1996,Bristol Bay,        Coho,0.31101074
1996,Bristol Bay,Chinook,0.50923545
1996,Bristol Bay,Sockeye,0.811888998
1996,Chignik,        Chum,0.028198636
1996,Chignik,        Coho,0.284497282
1996,Chignik,Chinook,0.419880835
1996,Chignik,Sockeye,0.85028322
1996,Cook Inlet,                             Pink,0.069475756
1996,Cook Inlet,        Chum,0.170532368
1996,Cook Inlet,        Coho,0.378231673
1996,Cook Inlet,Chinook,0.993975088
1996,Cook Inlet,Sockeye,1.186982994
1996,Kodiak,                             Pink,0.072564197
1996,Kodiak,        Chum,0.148781088
1996,Kodiak,        Coho,0.424031061
1996,Kodiak,Chinook,0.651855655
1996,Kodiak,Sockeye,0.899029377
1996,Kuskokwim,        Chum,0.103018666
1996,Kuskokwim,        Coho,0.259824007
1996,Kuskokwim,Chinook,0.253626084
1996,Kuskokwim,Sockeye,0.400353678
1996,Prince William Sound,                             Pink,0.094596615
1996,Prince William Sound,        Chum,0.170785652
1996,Prince William Sound,        Coho,0.499853363
1996,Prince William Sound,Chinook,1.653134581
1996,Prince William Sound,Sockeye,1.35081829
1996,Southeast,                             Pink,0.102139458
1996,Southeast,        Chum,0.165323242
1996,Southeast,        Coho,0.68482208
1996,Southeast,Chinook,1.399231335
1996,Southeast,Sockeye,1.13315724
1996,Yukon,        Chum,0.101894152
1996,Yukon,        Coho,0.236186926
1996,Yukon,Chinook,1.948634554
1997,Alaska Peninsula,                             Pink,0.106607051
1997,Alaska Peninsula,        Chum,0.111238289
1997,Alaska Peninsula,        Coho,0.439690024
1997,Alaska Peninsula,Chinook,0.471611192
1997,Alaska Peninsula,Sockeye,0.959253987
1997,Bristol Bay,                             Pink,0.071269488
1997,Bristol Bay,        Chum,0.098547333
1997,Bristol Bay,        Coho,0.500437165
1997,Bristol Bay,Chinook,0.516939408
1997,Bristol Bay,Sockeye,0.904206012
1997,Cook Inlet,                             Pink,0.137287937
1997,Cook Inlet,        Chum,0.206428098
1997,Cook Inlet,        Coho,0.403088974
1997,Cook Inlet,Chinook,0.982799852
1997,Cook Inlet,Sockeye,1.15524275
1997,Kodiak,                             Pink,0.154359953
1997,Kodiak,        Chum,0.186781873
1997,Kodiak,        Coho,0.561038281
1997,Kodiak,Chinook,0.640749544
1997,Kodiak,Sockeye,0.95933184
1997,Kuskokwim,        Chum,0.145497344
1997,Kuskokwim,        Coho,0.348550137
1997,Kuskokwim,Chinook,0.297468454
1997,Kuskokwim,Sockeye,0.429357792
1997,Norton Sound,        Coho,0.479905052
1997,Norton Sound,Chinook,0.776370597
1997,Norton Sound,Sockeye,0.687246964
1997,Prince William Sound,                             Pink,0.144995457
1997,Prince William Sound,        Chum,0.323393422
1997,Prince William Sound,        Coho,0.578296206
1997,Prince William Sound,Chinook,2.013090213
1997,Prince William Sound,Sockeye,0.957801531
1997,Southeast,                             Pink,0.159881718
1997,Southeast,        Chum,0.25374877
1997,Southeast,        Coho,0.990396888
1997,Southeast,Chinook,1.63647713
1997,Southeast,Sockeye,1.213769086
1997,Yukon,        Chum,0.150134929
1997,Yukon,        Coho,0.333758604
1997,Yukon,Chinook,2.40478903
1998,Alaska Peninsula,                             Pink,0.145457635
1998,Alaska Peninsula,        Chum,0.136477888
1998,Alaska Peninsula,        Coho,0.320116384
1998,Alaska Peninsula,Chinook,0.509493245
1998,Alaska Peninsula,Sockeye,1.205128271
1998,Bristol Bay,                             Pink,0.080777653
1998,Bristol Bay,        Chum,0.09523849
1998,Bristol Bay,        Coho,0.479885352
1998,Bristol Bay,Chinook,0.622165246
1998,Bristol Bay,Sockeye,1.222653894
1998,Cook Inlet,                             Pink,0.146715291
1998,Cook Inlet,        Chum,0.192179686
1998,Cook Inlet,        Coho,0.42840744
1998,Cook Inlet,Chinook,1.089184746
1998,Cook Inlet,Sockeye,1.084701505
1998,Kodiak,                             Pink,0.150587671
1998,Kodiak,        Chum,0.190241802
1998,Kodiak,        Coho,0.369575179
1998,Kodiak,Chinook,0.708293382
1998,Kodiak,Sockeye,1.187285089
1998,Kuskokwim,                             Pink,0.106842508
1998,Kuskokwim,        Chum,0.144132065
1998,Kuskokwim,        Coho,0.345732098
1998,Kuskokwim,Chinook,0.295642331
1998,Kuskokwim,Sockeye,0.596761531
1998,Prince William Sound,                             Pink,0.15587476
1998,Prince William Sound,        Chum,0.347648966
1998,Prince William Sound,        Coho,0.568708799
1998,Prince William Sound,Chinook,2.428471381
